"productDisplayName","publisherDisplayName","versionDisplayName"
"Kodu Game Lab","Kodu","1.6.18"
"UltraVNC","UltraVNC","1.6.4.0"
"New Relic Infrastructure Agent","New Relic, Inc.","1.65.1"
"BrightAuthor connected","BrightSign LLC","1.63.2"
"DYMO ID","DYMO","1.5.1"
"Zscaler Client Connector for VDI","Zscaler","1.4.0.8"
"RustDesk","PURSLANE","1.4.0"
"voidtools Everything Lite","voidtools","1.4.1.1028"
"RStudio 1.4","RStudio","1.4.1743"
"voidtools Everything","voidtools","1.4.1.1028"
"LogMeIn Client","LogMeIn","1.3.5653"
"Fuzzy Lookup Add-In For Excel","Microsoft","1.3.0.0"
"RenderDoc","Baldur Karlsson","1.37"
"Inkscape","Inkscape","1.4"
"Microsoft Azure Storage Explorer","Microsoft","1.39.0"
"MongoDB Compass","MongoDB Inc.","1.46.4"
"KeePass Password Safe (Classic Edition)","Dominik Reichl","1.43"
"MongoDB Compass Isolated Edition","MongoDB Inc.","1.46.4"
"Mocha TN3812","MochaSoft Aps","1.5"
"MongoDB Compass Readonly Edition","MongoDB Inc.","1.46.4"
"Robo 3T","3T Software Labs Ltd","1.4.4"
"Genesys Cloud Background Assistant","Genesys","1.4.266"
"Horizon Collaborate","Gamma Telecom Ltd","1.41.0"
"Plex Media Server","Plex","1.41.8.9834"
"Amazon AWS Command Line Interface","Amazon Web Services Developer Relations","1.41.0"
"XnSoft XnView MP","XnSoft","1.8.6.0"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 10 update 2004","Microsoft","10.1.19041.1"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 10 update 1903","Microsoft","10.1.18362.1"
"ESET Endpoint Antivirus V10","ESET","10.1.2065.0"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 11","Microsoft","10.1.22000.1"
"Microsoft Windows PE add-on for ADK for Windows 11","Microsoft","10.1.22000.1"
"Foxit PhantomPDF Pro 10","Foxit Software","10.1.12.37872"
"Foxit PhantomPDF 10","Foxit Software","10.1.12.37872"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 10 update 1607","Microsoft","10.1.14393.0"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 10 update 1809","Microsoft","10.1.17763.1"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 10 update 1803","Microsoft","10.1.17134.1"
"LogMeIn GoToMeeting IT Installer","LogMeIn","10.19.19950"
"LogMeIn GoToMeeting multi-build Installer","LogMeIn","10.19.19950"
"MariaDB Server 10.2","MariaDB Foundation","10.2.44"
"Logitech Options","Logitech","10.24.3"
"Win10Pcap","Daiyuu Nobori, University of Tsukuba, Japan","10.2.5002"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 11","Microsoft","10.1.25398.1"
"Microsoft Windows PE add-on for ADK for Windows 11","Microsoft","10.1.25398.1"
"Microsoft Windows PE add-on for ADK for Windows 11","Microsoft","10.1.26100.2454"
"Evernote","Evernote","10.144.3"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 11","Microsoft","10.1.26100.2454"
"Foxit PhantomPDF Pro 10","Foxit Software","10.1.11.37866"
"Kotobee Author","Vijua","1.9.1"
"Kotobee Reader","Vijua","1.9.0"
"HandBrake","HandBrake Team","1.9.2"
"FastPictureViewer Professional","Axel Rietschin Software Developments","1.95.400.0"
"Dell EMC System Update","Dell, Inc.","1.9.3.0"
"IcedTea-Web","Azul Systems, Inc.","1.8.8"
"Snapform Viewer","Ringler Informatik AG","1.8.7"
"ScaleFT","ScaleFT","1.83.4"
"Raspberry Pi Imager","Raspberry Pi Ltd","1.9.0"
"Tailscale","Tailscale Inc.","1.84.2"
"Microsoft Visual Studio 2010 Tools for Office Runtime","Microsoft","10.0.60917.00"
"Dedoose Desktop App","Dedoose","10.0.35"
"Kerio Connect","GFI Software","10.0.7.8784"
"Moon Modeler","Bizagi Limited","10.1.1"
"XMind 2020","XMind Ltd","10.1.0"
"Meteor Modeler","Ideamerit s.r.o.","10.0.0"
"Galaxy Modeler","Bizagi Limited","10.0.0"
"Mitel miCollab","Mitel Networks Corporation","10.0.105"
"SmartFTP Client","SmartSoft Ltd","10.0.3275.0"
"Dane Prairie Systems Win2PDF","Dane Prairie Systems","10.0.174.4"
"Smartsheet desktop app","Smartsheet Inc.","1.0.52"
"ScreenBeam Conference","ScreenBeam Inc.","1.0.5.10"
"Lenovo Accessories and Display Manager","Lenovo Software","1.0.7.8"
"Lenovo Quick Clean","Lenovo Software","1.02.0051"
"ThinkPad TrackPoint Keyboard II Software","Lenovo Software","1.0.8.6241"
"PaperCut Mobility Print","PaperCut Software Pty Ltd","1.0.3741"
"Pausit Launcher","Pausit AB","1.0.27.0"
"monday","monday.com Ltd","1.0.41.0"
"DataGrip 1.0","JetBrains","1.0.5"
"Microsoft Active Directory Rights Management Service Client","Microsoft","1.0.4114.0"
"Crestron AirMedia Peripheral Installer","Crestron Electronics, Inc.","1.10.1.160"
"ClockAssist","ClockAssist","1.1.9305.21845"
"Morphic","Raising the Floor ? US inc.","1.10.25153.2"
"Microsoft Visual Studio Code","Microsoft","1.101.2"
"Typora","typora.io","1.10.8"
"South River Technologies WebDrive","South River Technologies","1.1.18"
"Screen InStyle","EIZO","1.1.16"
"ImpExpPro","Benthic Software","1.1.22"
"Logitech Camera Settings","Logitech","1.1.87.0"
"Encrypt.me","Cloak Holdings LLC","1.1.3.0"
"Administrative Templates (ADMX) for Windows 10","Microsoft","1.0.1803"
"Zeal","Oleg Shparber","0.7.2"
"DevPod","loft","0.6.15"
"Paperpile","Paperpile LLC","0.8.1"
"Putty","Simon Tatham","0.83.0.0"
"PuTTY CAC","Simon Tatham","0.83"
"SideQuest","SideQuest","0.10.42"
"Gephi","Gephi","0.10.1"
"SelfGuide Recorder","PolderValley","0.166.0.0"
"WireGuard","WireGuard LLC","0.5.3"
"NetBird","NetBird GmbH","0.49.0"
"Administrative Templates (ADMX) for Windows 10","Microsoft","1.0.1507"
"Anywhere365 Integrator","Anywhere365","1.0.0.1"
"Administrative Templates (ADMX) for Windows 10","Microsoft","1.0.1511"
"Administrative Templates (ADMX) for Windows 10","Microsoft","1.0.1709"
"Administrative Templates (ADMX) for Windows 10","Microsoft","1.0.1703"
"Administrative Templates (ADMX) for Windows 10","Microsoft","1.0"
"Microsoft PowerToys","Microsoft","0.91.1"
"Administrative Templates (ADMX) for Windows 10","Microsoft","1.0.0"
"Samsung Smart View","Samsung Techwin Co., Ltd","1.0.0.0"
"FreeCAD","FreeCAD","1.0.0"
"VSCodium","VSCodium","1.101.24242"
"GoAnywhere OpenPGP Studio","Fortra, LLC","1.2.3"
"pdfFiller","airSlate, Inc.","1.2.112"
"Synology Evidence Integrity Authenticator","Synology","1.2.3.025"
"AWS Session Manager Plugin","Amazon Web Services","1.2.707.0"
"Logitech Bolt","Logitech","1.2.6024.0"
"Rancher Desktop","SUSE","1.19.3"
"Google Go Programming Language 1.19","Google","1.19.12"
"Mendeley Desktop","Mendeley Ltd","1.19.5"
"MSIX Core","Microsoft","1.2.0.0"
"Remote Ripple","GlavSoft LLC","1.2.0"
"Trimble Connect","Trimble Solutions Corporation","1.25.3.660"
"Microsoft Defender for Endpoint plug-in for WSL","Microsoft","1.24.1121.3"
"VeraCrypt","VeraCrypt","1.26.24"
"SMath Studio","SMath LLC","1.3.0-9126"
"Laserbox basic","Makeblock Co., Ltd","1.3.0"
"Google Go Programming Language 1.21","Google","1.21.13"
"Google Go Programming Language 1.20","Google","1.20.14"
"Google Go Programming Language 1.22","Google","1.22.12"
"Macrobond Viewer","Macrobond","1.23.0.3853"
"Macrobond","Macrobond","1.23.0.3853"
"General Workings Streamlabs OBS","General Workings, Inc.","1.19.0"
"KDiff3","Joachim Eibl","1.12.3"
"OpenWebStart","Karakun","1.12.0"
"PlanGrid","PlanGrid, Inc.","1.125.0.16107"
"TortoiseSVN ipv6","TortoiseSVN","1.14.29387"
"Pexip Infinity Connect","Cloud Video","1.13.2"
"XnSoft XnConvert","XnSoft","1.102.0"
"Articulate 360","Articulate","1.101.34925.0"
"Aptakube","Sumbit Labs Limited","1.11.10"
"Autodesk Identity Manager","Autodesk Inc.","1.11.9.11"
"Ditto Connect","Squirrels","1.11.2"
"Google Go Programming Language 1.17","Google","1.17.13"
"Cryptomator","Skymatic GmbH","1.17.0.5789"
"NextivaONE","Nextiva","1.18.1.0"
"KeeWeb","KeeWeb","1.18.7"
"Google Go Programming Language 1.18","Google","1.18.10"
"AWS SAM command line interface","Amazon","1.142.0"
"TortoiseSVN","TortoiseSVN","1.14.29743"
"Kreya","riok GmbH","1.16.0"
"Slido","Slido","1.17.0"
"Google Go Programming Language 1.16","Google","1.16.15"
"Zulu JDK 10 (STS)","Azul Systems, Inc.","10.3"
"PL SQL Developer 15","Allround Automations","15.0.4.2064"
"Microsoft SQL Server 2016 Report Builder","Microsoft","15.0.20283.0"
"Cisco Jabber 15","Cisco Systems, Inc.","15.1.0.59843"
"Microsoft SQL Server 2016 Report Builder","Microsoft","15.1.20318.47"
"Cisco JVDI Agent 15","Cisco Systems, Inc.","15.1.0.59856"
"Autodesk Design Review 2018","Autodesk Inc.","15.0.2.10"
"JProfiler","ej-technologies GmbH","15.0.2"
"Amazon Corretto JDK 15","Amazon","15.0.2.7"
"Eclipse Temurin JDK with Hotspot 15","Eclipse Foundation","15.0.2.7"
"Eclipse Temurin JRE with Hotspot 15","Eclipse Foundation","15.0.2.7"
"Microsoft OneNote","Microsoft","16.0.18730.20168"
"Eclipse Temurin JRE with Hotspot 16","Eclipse Foundation","16.0.1.9"
"OpenJDK 16","Microsoft","16.0.2.7"
"Eclipse Temurin JDK with Hotspot 16","Eclipse Foundation","16.0.2.7"
"Amazon Corretto JDK 16","Amazon","16.0.2.7"
"Capture One 22","Capture One","15.4.2.10"
"Node.js 15","Node.js Foundation","15.14.0"
"Zulu JRE 15 (MTS)","Azul Systems, Inc.","15.46.17"
"TeamViewer Host","TeamViewer GmbH","15.67.4.0"
"Zulu JDK 15 (MTS)","Azul Systems, Inc.","15.46.17"
"Cisco Jabber 14","Cisco Systems, Inc.","15.0.1.59513"
"Google Credential Provider for Windows","Google","138.0.7204.26"
"Microsoft Edge Beta","Microsoft","138.0.3351.55"
"Google Chrome Remote Desktop Host","Google","138.0.7204.6"
"Microsoft SQL Server 2017 Express Advanced Edition","Microsoft","14.0.1000.169"
"Google Chrome for Business","Google","138.0.7204.97"
"Zulu JRE 13 (MTS)","Azul Systems, Inc.","13.54.17"
"Zulu JDK 13 (MTS)","Azul Systems, Inc.","13.54.17"
"Autodesk Single Signon Component","Autodesk Inc.","13.7.7.1807"
"SRWare Iron","SRWare","137.0.6950.0"
"Nitro Pro 13 (Retail)","Nitro","13.70.8.82"
"Cisco JVDI Agent 14","Cisco Systems, Inc.","14.3.1.58744"
"Google Web Designer","Google","14.2.2.0"
"Microsoft Visual C++ 2015-2022 Redistributable","Microsoft","14.44.35208.0"
"Mozilla Firefox","Mozilla","140.0.2"
"Google Ads Editor","Google","14.9.5.0"
"JProfiler","ej-technologies GmbH","14.0.6"
"Microsoft SQL Server 2017 for Microsoft Windows Latest Cumulative Update","Microsoft","14.0.3456.2"
"Microsoft SQL Server 2017 Reporting Services","Microsoft","14.0.8444.41957"
"Microsoft Azure PowerShell","Microsoft","14.2.0.39899"
"Citrix Receiver","Citrix","14.12.0.18020"
"IBM Semeru Runtime Open Edition JDK 16","Semeru","16.0.2.7"
"Microsoft Visual Studio 2022 Professional","Microsoft","17.14.36221.1"
"Microsoft Visual Studio 2022 Community","Microsoft","17.14.36203.30"
"Microsoft Visual Studio Team Explorer 2022","Microsoft","17.14.36221.1"
"Visual Paradigm Project Viewer","Visual Paradigm International Ltd","17.2.0.0"
"Microsoft Visual Studio 2022 Enterprise","Microsoft","17.14.36221.1"
"Microsoft Visual Studio 2022 Professional","Microsoft","17.10.36129.12"
"Microsoft Visual Studio 2022 Enterprise","Microsoft","17.10.36129.12"
"Microsoft ODBC Driver 17 for SQL Server","Microsoft","17.10.6.1"
"Microsoft Visual Studio 2022 Enterprise","Microsoft","17.12.35827.183"
"Microsoft Visual Studio 2022 Professional","Microsoft","17.12.35728.132"
"Zulu JDK 17 (LTS)","Azul Systems, Inc.","17.58.21"
"Microsoft Visual Studio 2022 Enterprise","Microsoft","17.4.35026.314"
"Zulu JRE 17 (LTS)","Azul Systems, Inc.","17.58.21"
"Microsoft Visual Studio 2022 Enterprise","Microsoft","17.6.35707.66"
"Microsoft Visual Studio 2022 Professional","Microsoft","17.6.35707.66"
"Microsoft Visual Studio 2022 Professional","Microsoft","17.2.34408.132"
"Keeper","Keeper","17.2.1"
"Microsoft Visual Studio 2022 Enterprise","Microsoft","17.2.34408.132"
"Microsoft Visual Studio 2022 Professional","Microsoft","17.4.35026.314"
"Zello","Zello Inc.","17.3.0.0"
"Red Hat OpenJDK","Red Hat","17.00150.6.1"
"3CXPhone for Windows","3CX","16.3.0.264"
"Microsoft Analysis Management Objects","Microsoft","16.0.5627.0"
"Zulu JDK 16 (STS)","Azul Systems, Inc.","16.32.15"
"Oracle Java SE Development Kit 17","Oracle","17.0.14.0"
"Temperature Technology T-TEC","Temperature Technology","16.5"
"Hanword HWP document converter for Microsoft Word 2016","Microsoft","16.0.4288.1000"
"SharePoint Online Management Shell","Microsoft","16.0.26211.12010"
"Microsoft Visio 2016 Viewer","Microsoft","16.0.4339.1001"
"Microsoft Analysis Services ADOMD.NET","Microsoft","16.0.5627.0"
"Microsoft Access Database Engine 2016","Microsoft","16.0.5044.1000"
"Microsoft Visual Studio 2022 Enterprise","Microsoft","17.0.33829.163"
"Amazon Corretto JDK 17","Amazon","17.0.15.6.1"
"Microsoft Visual Studio 2022 Professional","Microsoft","17.0.33829.163"
"Red Hat OpenJDK JRE","Red Hat","17.00150.6.1"
"Microsoft Analysis Services OLE DB Provider","Microsoft","17.0.814.0"
"Eclipse Temurin JDK with Hotspot 17 (LTS)","Eclipse Foundation","17.0.15.6"
"Eclipse Temurin JRE with Hotspot 17 (LTS)","Eclipse Foundation","17.0.15.6"
"IBM Semeru Runtime Open Edition JDK 17 (LTS)","Semeru","17.0.15.6"
"OpenJDK 17","Microsoft","17.0.15.6"
"IBM Semeru Runtime Open Edition JRE 17 (LTS)","Semeru","17.0.15.6"
"Install4j","ej-technologies GmbH","11.0.4"
"Amazon Corretto JDK 11","Amazon","11.0.27.6.1"
"Microsoft Visual C++ 2012 Redistributable","Microsoft","11.0.61030.0"
"PerformanceTest","Passmark Software","11.1.1005.0"
"Nitro Pro 11","Nitro","11.0.8.470"
"IBM Semeru Runtime Open Edition JDK 11 (LTS)","Semeru","11.0.27.6"
"IBM Semeru Runtime Open Edition JRE 11 (LTS)","Semeru","11.0.27.6"
"Eclipse Temurin JDK with Hotspot 11 (LTS)","Eclipse Foundation","11.0.27.6"
"OpenJDK 11","Microsoft","11.0.27.6"
"Eclipse Temurin JRE with Hotspot 11 (LTS)","Eclipse Foundation","11.0.27.6"
"Microsoft SQL Server 2012 Native Client","Microsoft","11.4.7001.0"
"SyncBackFree","2BrightSparks Ptd Ltd","11.3.106.0"
"DisplayLink Dock Driver","Dell, Inc.","11.5.6200.0"
"Zulu JRE 11 (LTS)","Azul Systems, Inc.","11.80.21"
"Zulu JDK 11 (LTS)","Azul Systems, Inc.","11.80.21"
"Foxit PDF Editor 11","Foxit Software","11.2.12.54161"
"XMind 2021","XMind Ltd","11.1.2"
"Foxit PDF Editor Pro 11","Foxit Software","11.2.12.54161"
"SyncBackPro","2BrightSparks Ptd Ltd","11.3.106.0"
"PDF24 Creator","geek Software GmbH","11.27.0"
"Red Hat OpenJDK","Red Hat","11.0.2509.1"
"PDF-Tools","PDF-XChange Co Ltd","10.6.0.396"
"PDF-XChange PRO","PDF-XChange Co Ltd","10.6.0.396"
"MariaDB Server 10.6","MariaDB Foundation","10.6.22"
"GraphDB Desktop","Ontotext","10.8.4"
"MariaDB Server 10.7","MariaDB Foundation","10.7.8"
"SonicWall NetExtender","SonicWall","10.3.2"
"PeaZip","PeaZip srl","10.3.0"
"MariaDB Server 10.3","MariaDB Foundation","10.3.39"
"MariaDB Server 10.5","MariaDB Foundation","10.5.29.0"
"MariaDB Server 10.4","MariaDB Foundation","10.4.34"
"Luna Modeler","Ideamerit s.r.o.","11.0.0"
"FastStone Soft Capture","FastStone Soft","11.0"
"Axure RP","Axure","11.0.0.4131"
"Red Hat OpenJDK JRE","Red Hat","11.0.250.1"
"NVIDIA GeForce Experience","NVIDIA","11.0.1.163"
"3DxWare 10","3Dconnexion UK","10.9.5.693"
"Nessus Agent 10","Tenable, Inc.","10.9.0.20004"
"MariaDB Server 10.9","MariaDB Foundation","10.9.8.0"
"Mozilla Firefox ESR 102","Mozilla","102.15.1"
"Mozilla FrontMotion Firefox Community Edition ESR","Mozilla","102.15.1"
"Softland doPDF","Softland","11.9.492"
"Lansweeper","Lansweeper","12.5.1.1"
"LogMeIn RemotelyAnywhere","LogMeIn","12.4.5378"
"NVivo 12","Lumivero","12.6.1.970"
"GoodSync Personal","Siber Systems Inc","12.9.1.1"
"Perky Duck","Duxbury Systems","12.7"
"SnelStart","SnelStart","12.181.8"
"Apple iTunes","Apple Inc.","12.13.7.1"
"Graphviz","The Graphviz Authors","12.2.1"
"SonicWall Connect Tunnel","SonicWall","12.4.3.311"
"Zulu JDK 12 (STS)","Azul Systems, Inc.","12.3.11"
"Microsoft ODBC Driver 13 for SQL Server","Microsoft","13.1.4414.46"
"Capture One 20","Capture One","13.1.4"
"Foxit PDF Editor Pro 13","Foxit Software","13.1.7.23637"
"Directory Opus","GP Software","13.13"
"Foxit PDF Editor 13","Foxit Software","13.1.7.23637"
"Cisco JVDI Agent 12","Cisco Systems, Inc.","12.9.3.55062"
"GoodSync 12","Siber Systems Inc","12.9.1.1"
"SuperOffice WebTools","SuperOffice AS","13.0.177.0"
"JProfiler","ej-technologies GmbH","13.0.7"
"think-cell 13","think-cell Software GmbH","13.0.36.874"
"HeidiSQL","Ansgar Becker","12.11.0.7065"
"ActiveState Software Komodo Edit","ActiveState Software Inc.","12.0.1"
"Microsoft Enterprise Mode Site List Manager","Microsoft","12.0.0.0"
"ActiveState Software Komodo IDE","ActiveState Software Inc.","12.0.1"
"Eclipse Temurin JRE with Hotspot 12","Eclipse Foundation","12.0.2.10"
"Eclipse Temurin JDK with Hotspot 12","Eclipse Foundation","12.0.2.10"
"Google Drive File Stream","Google","110.0.2.0"
"Google Drive","Google","110.0.2.0"
"Business Tax Software BLR","National Taxation Bureau Taiwan","11400.01.1140311"
"Mozilla Thunderbird","Mozilla","115.8.0"
"Mozilla Firefox ESR 115","Mozilla","115.25.0"
"Thycotic Application Control Agent","Thycotic Software, LLC","12.0.3185"
"Thycotic Directory Services Agent","Thycotic Software, LLC","12.0.3021"
"Thycotic Local Security Agent","Thycotic Software, LLC","12.0.3185"
"Foxit PDF Editor 12","Foxit Software","12.1.9.15762"
"Zulu JRE 12 (STS)","Azul Systems, Inc.","12.1.3"
"ESET Endpoint Antivirus V12","ESET","12.0.2049.0"
"Microsoft SQL Server 2014 Express LocalDB","Microsoft","12.0.2000.8"
"ESET Endpoint Security V12","ESET","12.0.2049.0"
"XMind 2022","XMind Ltd","12.0.3"
"Microsoft System CLR Types for SQL Server 2014","Microsoft","12.0.2402.11"
